id,barcode,name,brand,source,ingredients,countries,allergens_confirmed,allergens_may_contain
2379750,095248849405,"ASIAN BLEND TRAIL, ASIAN BLEND","Lehi Valley Trading Company, Inc.",USDA,"RICE CRACKER BLEND (GLUTINOUS RICE, SOY SAUCE [WATER, SOYBEANS, WHEAT, SALT], SUGAR, MODIFIED FOOD STARCH, SESAME SEEDS, SEAWEED, CAPSICUM OLEORESIN, ARTIFICIAL COLOR [YELLOW #6]), SUNFLOWER KERNELS, BUTTER TOFFEE PEANUTS (PEANUTS, SUGAR, BUTTER, SALT), SESAME STICKS (ENRICHED WHEAT FLOUR [UNBLEACHED WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON (REDUCED IRON), THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], SOYBEAN OIL, SESAME SEEDS, BULGUR WHEAT, SALT, BEET POWDER [COLOR], TURMERIC [COLOR]), BLANCHED PEANUTS, SPANISH PEANUTS, SNACKIN PEAS (GREEN PEAS, PALM OIL, SEA SALT, ARTIFICIAL COLORS [YELLOW #5, BLUE #1]), PEAS WASABI (GREEN PEAS, CORN STARCH, GLUTINOUS RICE FLOUR, SUGAR, SOYBEAN OIL, SALT, WASABI, ARTIFICIAL COLORS [YELLOW #5, BLUE #1]).",United States,"en:peanuts, en:soybeans, en:milk, en:wheat, en:sesame-seeds, en:mustard, en:barley",
2600643,031000675103,"ASIAN CAESAR DRESSING, ASIAN CAESAR",Conagra Frozen Foods,USDA,"WATER, SOYBEAN OIL, PARMESAN CHEESE (PASTEURIZED PART SKIM MILK, CULTURES, SALT, ENZYMES), SOY SAUCE (WATER, SOYBEANS, WHEAT, SALT), SUGAR, DISTILLED VINEGAR, SALT, RICE VINEGAR, LESS THAN 2% OF: MODIFIED CORN STARCH, GARLIC POWDER, MISO PASTE (SOYBEANS, RICE, SEA SALT, KOJI STARTER), RED CHILE SAUCE (RED CHILE PEPPERS, VINEGAR, SUGAR, GARLIC, SALT), PHOSPHORIC ACID, SPICE, XANTHAN GUM, WITH POTASSIUM SORBATE, SODIUM BENZOATE, CALCIUM DISODIUM EDTA, NISIN PREPARATION AND NATAMYCIN TO PROTECT QUALITY.",United States,"en:soybeans, en:milk, en:wheat",
2297881,077890258835,"ASIAN CHOPPED SALAD KIT, ASIAN","Wegmans Food Markets, Inc.",USDA,"SAVOY CABBAGE, GINGER SESAME DRESSING (SOYBEAN OIL, WATER, RICE VINEGAR, PINEAPPLE JUICE CONCENTRATE, CANE SUGAR, GINGER PUREE, CARROT PUREE [CARROT, WATER], MISO [RICE KOJI, SOYBEANS, SEA SALT, WATER, KOJI SPORES], SOY SAUCE [WATER, SOYBEANS, WHEAT, SALT], TOASTED SESAME OIL, ORANGE JUICE CONCENTRATE, SESAME SEED, GARLIC PUREE [GARLIC, WATER], SALT, GINGER POWDER, NATURAL HORSERADISH FLAVOR, GINGER EXTRACT, XANTHAN GUM), GREEN CABBAGE, CARROT, CELERY, ALMONDS, WONTON STRIPS (WHEAT FLOUR, CANOLA OIL, WATER, SALT), GREEN ONION, CILANTRO.",United States,"en:soybeans, en:wheat, en:tree-nuts, en:sesame-seeds, en:celery",
2391808,736798903857,"ASIAN GINGER DRESSING, ASIAN GINGER","Good Foods Group, LLC",USDA,"CARROTS, WATER, NON-GMO EXPELLER PRESSED CANOLA OIL, GINGER PUREE, RICE VINEGAR, WHITE MISO (ORGANIC SOYBEANS, ORGANIC RICE KOJI, SEA SALT, WATER, KOJI SPORES), SHALLOTS, SEA SALT.",United States,en:soybeans,
1944098,795944171939,"ASIAN HOT PEANUTS, ASIAN HOT",Golden Packaging Company,USDA,"PEANUT, WHEAT FLOUR, RICE FLOUR, CHILI, SUGAR, LEAVENING (AMMONIUM BICARBONATE BAKING SODA) SALT, SOY SAUCE (WATER SOY BEANS, WHEAT, SALT), POTATO STARCH.",United States,"en:peanuts, en:soybeans, en:wheat",
2419101,039639605270,"ASIAN SESAME NOODLE, ASIAN SESAME",Roche Bros Supermarkets Inc.,USDA,"LO MEIN NOODLES [BLEACHED WHEAT FLOUR, WATER, VITAL WHEAT GLUTEN, PASTEURIZED EGGS, SALT, YELLOW COLORING (WATER, FD & C YELLOW # 5, CITRIC ACID, FD & C YELLOW # 6, SODIUM BENZOATE, FD & C RED 40), SODIUM BENZOATE (TO PROTECT FLAVOR) ,CORN STARCH, SOYBEAN OIL], PINEAPPLE JUICE [ASCORBIC ACID (VITAMIN C), VITAMIN E, VITAMIN A], SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT, LESS THAN 1/10 OF 1% OF SODIUM BENZOATE AS A PRESERVATIVE), SUGAR, GREEN BELL PEPPER, RED BELL PEPPER [WATER, SALT, CITRIC ACID (ACIDITY REGULATOR), CALCIUM CHLORIDE], CANOLA OIL, CARROTS, CIDER VINEGAR, SESAME SEEDS, WILDFLOWER HONEY, LACTIC ACID, SESAME OIL, SORBIC ACID, CAYENNE PEPPER AND XANTHAN GUM.",United States,"en:soybeans, en:eggs, en:wheat, en:sesame-seeds",
1961185,709351302411,"ASIAN SESAME SALAD, ASIAN SESAME","Curation Foods, Inc.",USDA,"SAVOY CABBAGE, SWEET SESAME DRESSING (HOISIN SAUCE [SUGAR, WATER, SALT, SWEET POTATO POWDER, RICE VINEGAR, CONTAINS LESS THAN 2% OF: CORN STARCH, SOYBEANS, SESAME PASTE, SPICES, WHEAT FLOUR, DEHYDRATED GARLIC, CHILI PEPPER], WATER, SOYBEAN OIL AND/OR CANOLA OIL, SESAME OIL, SUGAR, RICE VINEGAR, OLIVE OIL, AGAVE NECTAR, BROWN SUGAR, SOY SAUCE [WATER, WHEAT, SOYBEANS, SALT], CONTAINS LESS THAN 2% OF: NATURAL FLAVORS, SEA SALT, SESAME SEEDS, SPICES, XANTHAN GUM), CASHEWS, CARROTS, SESAME STICKS (ENRICHED WHEAT FLOUR [UNBLEACHED WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON (REDUCED IRON), THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], SOYBEAN OIL, SESAME SEEDS, BULGUR WHEAT, SALT, TURMERIC, BEET POWDER), RED CABBAGE, KALE, GREEN CABBAGE.",United States,"en:soybeans, en:wheat, en:tree-nuts, en:sesame-seeds, en:barley",
1990630,073508001367,"ASIAN STYLE SALAD, ASIAN STYLE","Hearthside USA, LLC",USDA,"SESAME GINGER DRESSING (WATER, SUGAR, SOY SAUCE [WATER WHEAT, SOYBEANS, SALT, ALCOHOL (TO RETAIN FRESHNESS), VINEGAR, LACTIC ACID], RICE VINEGAR, GINGER, MODIFIED CORN STARCH, CANOLA OIL, SESAME SEEDS, XANTHAN GUM, SESAME OIL, DRIED GARLIC, DRIED ONION) LETTUCE ROMAINE SPRING MIX, ALMONDS, RED BELL PEPPER, SNOW PEAS FRESH, RED CABBAGE, CARROTS, WONTON STRIPS (ENRICHED FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID, ENZYMES], SOYBEAN OIL, CORNSTARCH, SALT, SODIUM BENZOATE [PRESERVATIVE]), GREEN ONION. CONTAINS: SOY, TREENUTS (ALMOND), WHEAT.",United States,"en:soybeans, en:wheat, en:tree-nuts, en:sesame-seeds",
2165894,826766155675,"ASIAN STYLE SALAD, ASIAN STYLE","Renaissance Food Group, LLC",USDA,"SESAME GINGER DRESSING (WATER, SUGAR, SOY SAUCE [WATER, WHEAT, SOYBEANS, SALT, ALCOHOL (TO RETAIN FRESHNESS), VINEGAR, LACTIC ACID], RICE VINEGAR, LESS THAN 2% OF GINGER, MODIFIED CORN STARCH, CANOLA OIL, SESAME SEEDS, XANTHAN GUM, SESAME OIL, DRIED GARLIC, DRIED ONION), ROMAINE & SPRING MIX BLOND (ROMAINE LETTUCE, SPRING MIX [BABY LETTUCES (ROD ROMAINE, GREEN ROMAINE, RED OAK LOAF, GREEN OAK LEAF, RED LEAF, LOLLO ROSA, TANGO), RED CHARD, GREEN CHARD, MIZUNA, ARUGULA, MACHE, FRISCO, RADICCHIO, GREENS MAY VARY BY SEASON]), ALMONDS, RED BELL PEPPER, SNAP PEAS, ROD CABBAGE, CARROTS, FRIED NOODLES (ENRICHED WHEAT FLOUR [UNBLEACHED WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID], WATER, NON-GMO CANOLA OIL, SALT), GREEN ONION.",United States,"en:soybeans, en:wheat, en:tree-nuts, en:sesame-seeds, en:barley",
2619409,041190049233,"ASIAN SZECHUAN SAUCE, ASIAN SZECHUAN",Wakefern Food Corporation,USDA,"WATER, SUGAR, SOY SAUCE (WATER, SOYBEANS, WHEAT, SALT), CORN SYRUP, MODIFIED CORN STARCH, ORANGE PEEL, RED JALAPENO PEPPERS, CONTAINS 2% OR LESS OF: RICE VINEGAR, GREEN ONION, GARLIC, SALT, GINGER, FERMENTED BLACK SOYBEANS, SPICES, ACETIC ACID, DISODIUM GUANYLATE, DISODIUM INOSINATE, CITRIC ACID, WITH POTASSIUM SORBATE TO PRESERVE FLAVOR.",United States,"en:soybeans, en:wheat",
2423578,811387019475,"ASIAN PEAR FRUIT CRISPS, ASIAN PEAR",Brothers International Food Corporation,USDA,ASIAN PEARS.,United States,,
2671144,894185000852,"ASIAN PEAR FRUIT CRISPS, ASIAN PEAR",Brothers International Food Corporation,USDA,ASIAN PEARS.,United States,,
